province_code	province	city_code	city	county_code	county	town_code	town	village_code	village	team_code	team	school_code	school	unit_code	unit	floor_code	floor	room_code	room	type	shool
											陕西省西安市雁塔区长安中路和小寨西路交叉口										小寨西路口
											西安市雁塔区兴善寺南路										兴善寺南路/小寨西路(路口)
											陕西省西安市雁塔区										长安中路/小寨东路(路口)
											西安市雁塔区兴善寺西街										兴善寺东街/长安中路(路口)
											陕西省西安市雁塔区										兴善寺东街/兴善寺西街(路口)
											陕西省西安市雁塔区										小寨东路/小寨西路(路口)
											西安市雁塔区										兴善寺南路/兴善寺西街(路口)
											陕西省西安市雁塔区										兴善寺西路口
											陕西省西安市雁塔区										兴善寺东路口
											西安市雁塔区长安中路65号金莎国际购物广场F4										两路口
											西安市雁塔区后村西路										雁塔路/后村西路(路口)
											西安市雁塔区西影路										雁塔路/西影路(路口)
											陕西省西安市雁塔区										乐游路/雁塔路(路口)
											陕西省西安市雁塔区										育才路/雁塔路(路口)
											西安市雁塔区小寨东路										小寨东路/西影路(路口)
											西安市雁塔区小寨东路										小寨东路/雁塔路(路口)
											527路										雁塔路·育才路口
											西安市雁塔区励志西路										励志西路/学府南路(路口)
											乐游路与西影路交叉口北50米										乐游路与西影路
											西安市雁塔区芙蓉西路										西影路与芙蓉西路交叉口
											陕西省西安市雁塔区										纬零街-含光路路口
											西安市雁塔区东仪路										东仪路-明德一路口
											陕西省西安市雁塔区东仪路明德二路口										东仪路-明德二路口
											西安市雁塔区 明德路-含光路交口										明德一路-含光路口
											含光路南段与明德二路交叉口东北50米										含光路与明德二路交叉口
											东仪路-明德二路口东南200米										丽人岛专业美发工作室
											东仪路-明德二路口西南200米										西安市雁塔区旺乐百货商店
											东仪路-明德二路口东北50米										文具体育
											东仪路-明德二路口东南150米										中国共产党西安市雁塔区长延堡街道东仪社区支部委员会
											东仪路-明德二路口西南200米										一剪钟情形象工作室
											西安市雁塔区电子正街										电子五路/电子正街(路口)
											西安市雁塔区电子正街										围墙正街东段/电子正街(路口)
											西安市雁塔区电子正街										电子四路与电子正街交叉口
											西安市雁塔区电子正街										电子正街与中心街交叉口
											电子正街与电子四路丁字路口向西200米，金磊大兴坊小区门口，闻道听香火锅二楼										闻道听香
											西安雁塔区电子正街117号(电子四路口)										湘粤情大酒店 宴会厅
											电子正街与电子五路丁字路口西70米										蜀南竹签烤肉(电子五路)
											电子正街电子五路南山路口村1号										西安家豪快捷酒店
											陕西省西安市雁塔区电子正街229号										利安社区电超市(紫薇城市花园南)
											二零五所社区										二0五所社区-南门
											西安市雁塔区长鸣路										长鸣路/东月路(路口)
											西安市雁塔区长鸣路										东延路/长鸣路(路口)
											陕西省西安市雁塔区										延兴门东路/长鸣路(路口)
											西安市雁塔区雁曲四路										公园南路与雁曲四路交叉口
											208路;270路;400路;602路;607路;717路;924路;924路区间;浐灞3号线										长鸣路·东月路口(等驾坡街道办事处)
											长鸣路-东月路口东南150米										精品石材城
											长鸣路-东月路口南150米										办公高隔间
											长鸣路-东月路口东南150米										发如雪时尚发艺
											长鸣公路8号										雁塔区等驾坡街道办事处社区服务中心
											陕西省西安市雁塔区长鸣路8号										康宁社区居委会
											富鱼路外事北校区北门路口前行50米(丽泽宾馆旁)										嘉年华美甲
											鱼化寨福谦堡100号(临近富鱼路与多元路丁字路口)										雅居宾馆(西安鱼化寨店)
											鱼化寨福谦堡194号(富鱼路与创新路丁字路口)										西安鱼化寨豪琦宾馆
											鱼化寨八家巷负27号(临近富鱼路与自强路丁字路口)										西安雁塔区凯悦宾馆
											陕西省西安市雁塔区鱼斗路78号										鱼化寨社区卫生中心
											鱼化寨鱼斗路88号凯星购物广场9楼										凯星公寓
											鱼斗路78号										雁塔区鱼化寨社区卫生服务中心-北门
											西安市中国鱼化寨5号										水利社区
											陕西省西安市雁塔区鱼化街38号										鱼斗路派出所鱼化中心社区家门口派出所
											陕西省西安市雁塔区水利社区2号楼										水利社区-2号楼
											西安市雁塔区饕界										丈八三路/饕界(路口)
											西安市雁塔区饕界										丈八三路/艺饕街(路口)
											西安市雁塔区丈八西路										丈八二路与丈八西路交叉口
											西安市雁塔区丈八西路										丈八三路与丈八西路交叉口
											526路;526路区间;709路										丈八西路·丈八一路口
											526路;526路区间;709路										丈八西路·丈八三路口
											丈八三路5号附近										天翼智慧社区便民服务站
											西安市雁塔区										丈八沟
											西安市雁塔区绿地中央广场5号楼10113号										黄牛村韩国料理
											陕西省西安市雁塔区										曲黄路与曲江路交叉口
											芙蓉南路-新开门北路路口东北150米										曲江风景线-西门
											芙蓉南路-新开门北路路口东150米										曲江风景线-停车场
											陕西省西安市雁塔区曲江街道芙蓉东路中海碧林湾北门宠物医院旁										曲江新区中海碧林湾社区卫生服务站
											陕西省西安市雁塔区中海·紫御华府7号楼										招商银行ATM(中海紫御华府社区支行)
											曲江街道曲江路中段68号										新华社区
											曲江街道曲江路中段68号										西安市雁塔区曲江街道新华社区居民委员会
											陕西省西安市雁塔区曲江新区新开门北路369号										曲江新区社区工作指导服务中心
											新开门北路西50米										24小时自助银行服务
											陕西省西安市雁塔区三兆路33号西南50米										天翼智慧社区便民服务站
