province_code	province	city_code	city	county_code	county	town_code	town	village_code	village	team_code	team	school_code	school	unit_code	unit	floor_code	floor	room_code	room	type
									陕西省西安市雁塔区逸居酒店(小寨店)		小寨路街道									行政地标;乡镇
									陕西省西安市雁塔区小寨路街道		红砖南路社区									行政地标;村庄
									吉祥村133号		吉祥村村委会									政府机构;各级政府
									永丰路附9号		永福社区									房地产;住宅区
									兴善寺西街10号		西安市小寨路街道办									政府机构;各级政府
									丁白路100号		四季社区									房地产;住宅区
									兴善寺西街10号附近		小寨路街道司法所									政府机构;行政单位
									吉祥路北200米		小寨路街道吉祥社区									房地产;住宅区
									兴善寺西街10号		小寨路街道办事处-北门									出入口;门
									兴善寺西街10		中共小寨路街道工作委员会									政府机构;各级政府
									陕西省西安市雁塔区小寨路街道办事处(飞炫购物广场西南)		雁塔区小寨路街道便民服务中心									生活服务;其他
									兴善寺西街10号附近		雁塔区小寨路街道安置帮救工作站									政府机构;行政单位
									翠华路与育才路交叉口西150米		西安市雁塔区小寨路街道育华社区									房地产;住宅区
									兴善寺西街10号附近		雁塔区小寨路街道人民调解委员会									政府机构;行政单位
									朱雀大街南段		西安市雁塔区小寨路街道子祥社区									房地产;住宅区
									陕西省西安市雁塔区红专南路12号红专南路生活小区		西安市雁塔区小寨路街道红专南路社区-居民委员会									政府机构;居民委员会
									兴善寺西街10号		西安市雁塔区人大常委会小寨路街道工作委员会									政府机构;各级政府
									长安中路13号附近		西安市雁塔区小寨路街道小寨东路社区服务中心									生活服务;其他
									陕西省西安市雁塔区文艺南路雅荷翠华小区		西安市雁塔区小寨路街道办事处育华社区职业介绍站									政府机构;行政单位
									陕西省西安市雁塔区兴化巷紫竹大厦南(名人居东50米)		西安市雁塔区小寨路街道永福社区-居民委员会									政府机构;居民委员会
									西安市雁塔区乐游路		大雁塔街道									行政地标;乡镇
									陕西省西安市雁塔区乐游路33号		西安市雁塔区大雁塔街道办事处									政府机构;各级政府
									西影路513号		西影社区									房地产;住宅区
									天坛路4号附近		西安市雁塔区长延堡街道瑞禾社区									政府机构;居民委员会
									陕西省西安市雁塔区雁南四路39号大雁塔新村		大雁塔街道办事处-大雁塔村民委员会									政府机构;各级政府
									陕西省西安市雁塔区西延路16号附近		雁塔区大雁塔街道党群服务中心									生活服务
									雁翔路40号附近		中共大雁塔街道铁一村支部委员会									政府机构;各级政府
									陕西省西安市雁塔区慈恩路30号附近		大雁塔街道太平堡村村民委员会									政府机构;各级政府
									慈恩路30号附近		中共大雁塔街道太平堡村支部委员会									政府机构;各级政府
									西影路57号		风景区第一生活小区									房地产;住宅区
									陕西省西安市碑林区二环南路东段192青龙小区		西安市雁塔区大雁塔街道办事处青龙社区服务站									医疗;诊所
									陕西省西安市雁塔区大雁塔街道青龙路蓝精灵幼儿园		雁塔区大雁塔街道王家村公共法律服务工作室									公司企业;公司
									雁翔路70号附近		西安市雁塔区大雁塔街道办事处铁一村村民委员会									政府机构;各级政府
									乐游路33号		雁塔区人民代表大会常委务员会大雁塔街道工作委员会									政府机构;各级政府
									经九路2号		中共西安市雁塔区大雁塔街道办事处王家村支部委员会									政府机构;各级政府
									西影路441号附近		中共观音庙村支部委员会									政府机构;各级政府
									陕西省西安市雁塔区大雁塔街道广场东路3号		大雁塔文化休闲景区									旅游景点;风景区
									慈恩西路2089号附近		大雁塔街道办事处党员服务中心									政府机构;其他
									陕西省西安市雁塔区西影路西安科技大学附属中学		大雁塔街道科技大学-社区居民委员会									政府机构;居民委员会
									二环南路东段辅路南200米		雁塔区大雁塔街道金龙社区综治工作站									政府机构;行政单位
									陕西省西安市雁塔区长延堡街道办事处(明德一路)		长延堡街道									行政地标;乡镇
									东仪路17号		长延堡街道办									政府机构;各级政府
									陕西省西安市雁塔区长安南路288号附近		西安市雁塔区长延堡街道办事处长延堡村民委员会									政府机构;各级政府
									慈恩路		长延堡									行政地标;商圈
									陕西省西安市雁塔区东仪路17号		中共长延堡街道工作委员会									政府机构;各级政府
									陕西省西安市雁塔区长丰园小区3号楼		长延堡街道办事处									政府机构;各级政府
									昌明路与明德路交叉口东150米		长延保街道青松路社区									生活服务;其他
									陕西省西安市雁塔区兵工社区五二一生活区(丈八东路北)		西安市雁塔区长延堡街道兵工社区-居民委员会									政府机构;居民委员会
									朱雀大街南段62号附近		雁塔商圈长延堡街道党员服务中心									政府机构;社会团体
									东仪路19号		西安市交通安全教育职业学校第二分校-北门									出入口;门
									陕西省西安市雁塔区长安西路长延堡街道世家星城社区		西安市雁塔区长延堡街道世家星城社区-居民委员会									政府机构;居民委员会
									陕西省西安市雁塔区长安南路东三爻小学西南50米		西安市雁塔区长延堡街道办事处东三爻村村委会									政府机构;各级政府
									长延堡村综合办公楼		长延堡村村民监督委员会									政府机构;行政单位
									陕西省西安市雁塔区长安西路北150米		世家星城社区									房地产;住宅区
									陕西省西安市雁塔区东仪路19号附近		中国共产党西安市雁塔区长延堡街道纪律检查工作委员会									政府机构;各级政府
									昌明路北150米		长延堡街道西八里村新市民联络站									政府机构;行政单位
									长安南路19号		长延堡街道星光老年人福利服务中心									政府机构;福利机构
									陕西省西安市雁塔区长延堡街道长安南路23号长泰实业有限公司院内		西安市雁塔区长延堡街道市容环卫管理办公室									政府机构;行政单位
									昌明路北150米		西安市长延堡街道西八里村村民监督委员会									政府机构;行政单位
									陕西省西安市雁塔区电子城街道办(湘粤情大酒店南)		电子城街道									行政地标;其他
									电子正街52号		电子城街道办事处									政府机构;各级政府
									丈八东路39号		丈八东路社区									房地产;住宅区
									融鑫路6号		科技路社区									房地产;住宅区
									丁白路9号附近		电子城街道太白社区服务站									生活服务;其他
									电子正街26号附近		西安市雁塔区电子城街道办事处电子西街社区									房地产;住宅区
									丁白路西50米		雁塔区电子城街道办事处白家村党支部									政府机构;各级政府
									电子三路84号附近		西安市雁塔区电子城街道办事处电子二路社区职业介绍站									政府机构;行政单位
									西安市雁塔区电子二路36号		西安市雁塔区电子城街道电子二路东社区									房地产;住宅区
									陕西省西安市雁塔区光华路安荣大厦西北150米		西安市雁塔区电子城街道办事处徐家庄村委会									政府机构;各级政府
									陕西省西安市雁塔区电子二路南100米		西安市雁塔区电子城-街道电子二路东社区支部委员会									政府机构;各级政府
									白沙路附近		中共西安市雁塔区电子城街道徐家庄村党支部									政府机构;各级政府
									电子正街52号		电子城街道办事处-东门									出入口;门
									西安市雁塔区太白南路339号8号楼		电子城街道广交社区服务站									政府机构;各级政府
									电子正街52号		西安市电子城街道工作委员会									政府机构;各级政府
									丈八东路29号		雁塔区城市管理综合行政执法支队电子城中队									政府机构;行政单位
									陕西省西安市雁塔区电子四路		雁塔商圈电子城街道综合服务中心									政府机构;党派团体
									陕西省西安市雁塔区电子城电子三路3号西京社区西区		电子城街道西京社区-居民委员会									政府机构;居民委员会
									陕西省西安市雁塔区电子二路南100米		电子城街道电子二路东社区服务站									医疗;诊所
									陕西省西安市雁塔区电子二路31		电子城街道电子一路社区服务站									生活服务;其他
									陕西省西安市雁塔区等驾坡街道办事处(长鸣路南)		等驾坡街道									行政地标;乡镇
									长鸣路8号		等驾坡街道办									政府机构;各级政府
									西影路8j		西等驾坡村村委会									政府机构;各级政府
									陕西省西安市雁塔区史家湾村708号		史家湾村委会									政府机构;各级政府
									长鸣路8号		中共等驾坡街道工作委员会									政府机构;各级政府
									长鸣路8号		等驾坡街道残疾人联合会									政府机构;福利机构
									月幸路附近		月登阁村委会									政府机构;各级政府
									西安市雁塔区田家湾小学南门		田家湾村委会									政府机构;各级政府
									长鸣路8号		等驾坡街道就业服务中心									生活服务;其他
									陕西省西安市雁塔区西影路8j		雁塔区等驾坡街道办事处									政府机构;各级政府
									长鸣路8号		雁塔区等驾坡街道统计工作站									政府机构;其他
									长鸣路8号		等驾坡街道综治维稳工作中心									政府机构;其他
									19路;269路;400路;528路;607路		等驾坡									
									西安市雁塔区幸福南路11号		等驾坡									行政地标;其他
