town_code,village,village_code
420704104,创业大道,420704104220
371581003,二院,371581003057
431223100,刘晓公园,431223100221
420802102,漳河路,420802102239
440511014,永平路,440511014008
321111004,万科沁园,321111004202
320612101,西禅寺村委会,320612101203
320214054,梅村镇居民委员会,320214054001
230203002,齐齐哈尔军校街,230203002008
430626109,兰桥村民委员会,430626109214
210602006,虹桥小区,210602006006
330604203,倪家堡聚能光伏科技有限公司,330604203001
510703003,滨河西路,510703003011
350206003,枋湖北二路,350206003026
330482107,贸易市,330482107212
321322001,苏州西路,321322001029
610114001,西安航空职业技术学院,610114001204
210504012,二单元,210504012001
330182002,雅鼎路,330182002215
320402003,朝阳三村,320402003206
451421202,岜盆新点20号,451421202209
440802002,29号,440802002005
411083001,至爱十字绣,411083001001
330522001,长吕路,330522001038
421222108,武长路,421222108221
110105025,紫薇天悦3号楼,110105025046
440882001,群众大道,440882001012
360322200,庙背村委会,360322200206
440106010,沙太南路,440106010016
220182101,三太村委会,220182101200
360702190,赣州经济技术开发区,360702190214
441402004,金鹏花园,441402004015
210112018,尚盈丽城21号楼,210112018028
440607004,石湖洲工业区,440607004204
445322404,39号,445322404001
320506406,津梁街,320506406001
210211018,金地檀溪D2区,210211018020
360112503,红谷滩新区,360112503001
500112145,长空路,500112145001
440111014,城区,440111014028
341523401,幸福村,341523401001
430903403,学院,430903403001
331124101,下街,331124101230
320586001,星湖街,320586001001
341821100,郎涛路,341821100224
230202006,新立街,230202006008
370681108,筐柳村委会,370681108231
440305401,旺棠工业区,440305401001
360125001,8栋,360125001001
350681106,梅市,350681106001
350582002,竹树下社区,350582002005
320571199,跨塘镇,320571199070
320922111,北大街,320922111218
330803001,振兴中路,330803001237
370613002,新天地广场,370613002213
610502001,城区,610502001201
340405121,孔集北村,340405121212
130681001,城西北街,130681001208
371072009,经区,371072009013
371323001,小沂河路,371323001294
310104003,淮海中路,310104003029
610502005,西潼路,610502005201
445202001,东湖路,445202001202
450205004,广西前锋路,450205004010
510722137,潼绵路,510722137231
370785001,月潭路,370785001259
410472001,平顶山学院,410472001208
330683400,仟代领带厂,330683400215
511702101,新世纪学校,511702101206
340403003,淮舜路,340403003011
430525501,新一中臻颜美甲店,430525501001
500118001,川主沟,500118001212
450922105,长旺村委会,450922105207
440404103,愉翠雅园,440404103205
220112271,宋佳村,220112271001
440282401,B区,440282401001
350821101,长汀职专,350821101231
340207004,银湖北路,340207004007
411302004,仲景北路,411302004009
310113502,月浦工业园区,310113502001
510108010,八里桥路,510108010201
350802004,韭菜园,350802004012
442000100,深涌路,442000100001
371202112,10号楼,371202112001
341526001,互联网产业园仓库,341526001001
331002006,刘洋工业区,331002006241
211481004,温馨家园,211481004201
450107455,2街,450107455001
360103006,八一广场,360103006011
140602004,一中新校区,140602004223
350111100,福马路,350111100502
500106015,大学城北一路,500106015008
430281006,狮子坡角辣哩,430281006212
330782107,43号,330782107001
445102008,永护路,445102008210
441602003,长安街社区,441602003002
330109104,墅上王菜场,330109104271
371422105,满村,371422105251
310110019,黄兴公园,310110019040
