school_code,unit,unit_code
371581003057001001,运河花行,371581003057001001001
431223100221001001,3期7栋,431223100221001001001
440511014008001001,7幢,440511014008001001001
320214054001001001,太阳城香珺苑,320214054001001001001
210602006006001001,2单元,210602006006001001001
321322001029001001,3号,321322001029001001001
440106010016001001,203房,440106010016001001001
440607004204001001,伟根五金厂,440607004204001001001
320506406001001001,1808,320506406001001001001
230202006008001001,三楼,230202006008001001001
440305401001001001,东座一楼,440305401001001001001
320571199070001001,305室,320571199070001001001
320922111218001001,星童画教育,320922111218001001001
610502001201001001,南塘小学t18202928302,610502001201001001001
310104003029001001,信息处理中心,310104003029001001001
610502005201001001,24楼,610502005201001001001
450205004010001001,2单元,450205004010001001001
340207004007001001,北校区,340207004007001001001
411302004009001001,最后一排西户,411302004009001001001
310113502001001001,A16号库,310113502001001001001
510108010201001001,停车场,510108010201001001001
211481004201001001,602,211481004201001001001
360103006011001001,5096,360103006011001001001
350111100502001001,中水十六局,350111100502001001001
330782107001001001,B幢,330782107001001001001
310110019040001001,时代高尔夫学院,310110019040001001001
