year,city_name,county_name_old,county_name
2017,上海市,崇明县,崇明区
2017,东营市,垦利县,垦利区
2016,九江市,九江县,柴桑区
2016,六盘水市,盘县,盘州市
2016,内江市,隆昌县,隆昌市
2017,庐山市,星子县,庐山市
2016,台州市,玉环县,玉环市
2017,天津市,蓟县,蓟州区
2017,宁波市,奉化市,奉化区
2017,延安市,安塞县,安塞区
2017,张家口市,万全县,万全区
2017,张家口市,崇礼县,崇礼区
2017,张家口市,宣化县,宣化区
2016,德阳市,罗江县,罗江区
2017,怒江傈僳族自治州,泸水县,泸水市
2017,成都市,郫县,郫都区
2016,承德市,平泉县,平泉市
2017,抚州市,东乡县,东乡区
2016,拉萨市,达孜县,达孜区
2017,昆明市,晋宁县,晋宁区
2017,曲靖市,沾益县,沾益区
2016,杭州市,临安市,临安区
2017,柳州市,柳江县,柳江区
2016,榆林市,神木县,神木市
2016,汉中市,南郑县,南郑区
2017,沈阳市,辽中县,辽中区
2017,河池市,宜州市,宜州区
2017,济南市,章丘市,章丘区
2017,淮安市,洪泽县,洪泽区
2017,淮安市,清河区,清江浦区
2017,淮安市,清浦区,清江浦区
2017,盘锦市,大洼县,大洼区
2016,福州市,长乐市,长乐区
2017,绵阳市,安县,安州区
2017,菏泽市,定陶县,定陶区
2017,衡水市,冀州市,冀州区
2017,西安市,户县,鄠邑区
2016,许昌市,许昌县,建安区
2017,赣州市,赣县,赣县区
2017,遵义市,遵义县,播州区
2017,邯郸市,永年县,永年区
2017,邯郸市,肥乡县,肥乡区
2017,重庆市,开县,开州区
2017,重庆市,梁平县,梁平区
2017,重庆市,武隆县,武隆区
2016,长沙市,宁乡县,宁乡市
2016,青岛市,即墨市,即墨区
2017,黑龙江市,抚远县,抚远市
